Filière;Niveau de formation;N° Module;Intitulé du module;Masse horaire (h);Compétences Pedagogiques
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Identifier les différentes familles dImmobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Créer et paramétrer les immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Gérer les immobilisations antérieures
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Etablir le plan damortissement
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Importer des immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Enregistrer les acquisitions des immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Calculer les immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Enregistrer les sorties des immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Réviser une immobilisation
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Effectuer un virement
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Générer les écritures de dotations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Exporter les immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Gérer les codes-barres
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Recenser des immobilisations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Saisir linventaire
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Relocaliser une immobilisation
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Exporter linventaire
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Editer les états dinventaire
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Identifier les différents types détats
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Générer les états
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Sapproprier les fondements juridiques et des obligations de télédéclaration fiscales
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Distinguer les différents modes de dépôt des déclarations fiscales et de télépaiement
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Identifier les avantages pour les contribuables éligibles au mode électronique de déclaration
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Reconnaitre les critères de non-conformité des télédéclarations
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Appliquer les étapes du processus dinscription et dadhésion
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Appliquer les étapes de télédéclaration et de télépaiement du résultat fiscal
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Appliquer les étapes de télédéclaration et de télépaiement de la TVA
GEOCF;3ème Année;M301;Logiciel de gestion des immobilisations et déclarations fiscales;60;Appliquer les étapes de télédéclaration et de télépaiement des traitements et salaires (DTS)
GEOCF;3ème Année;M302;Audit comptable et financier;60;Définir la mission daudit
GEOCF;3ème Année;M302;Audit comptable et financier;60;Identifier les objectifs de laudit
GEOCF;3ème Année;M302;Audit comptable et financier;60;Sapproprier les principes fondamentaux régissant la mission de laudit
GEOCF;3ème Année;M302;Audit comptable et financier;60;Identifier les différents types daudits
GEOCF;3ème Année;M302;Audit comptable et financier;60;Sapproprier les normes de laudit comptable et financier
GEOCF;3ème Année;M302;Audit comptable et financier;60;Reconnaitre les étapes dune mission daudit
GEOCF;3ème Année;M302;Audit comptable et financier;60;Préparer la mission daudit
GEOCF;3ème Année;M302;Audit comptable et financier;60;Evaluer le contrôle interne
GEOCF;3ème Année;M302;Audit comptable et financier;60;Exécuter les contrôles substantifs
GEOCF;3ème Année;M302;Audit comptable et financier;60;Réaliser les travaux de fin de mission
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer les procédés dexamen analytique
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer les techniques de description des cycles
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer les techniques de confirmation directe
GEOCF;3ème Année;M302;Audit comptable et financier;60;Organiser les dossiers et les feuilles de travail
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer des tests sur le fonctionnement des contrôles
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer les techniques de validation des comptes
GEOCF;3ème Année;M302;Audit comptable et financier;60;Appliquer les techniques de détection des fraudes
GEOCF;3ème Année;M303;Normes comptables internationales;60;Appréhender les enjeux de la normalisation comptable internationale
GEOCF;3ème Année;M303;Normes comptables internationales;60;Appréhender le cadre conceptuel de lIASB
GEOCF;3ème Année;M303;Normes comptables internationales;60;Présenter létat de la situation financière
GEOCF;3ème Année;M303;Normes comptables internationales;60;Présenter létat de résultat global
GEOCF;3ème Année;M303;Normes comptables internationales;60;Présenter létat des flux de trésorerie
GEOCF;3ème Année;M303;Normes comptables internationales;60;Evaluer et comptabiliser des actifs non courants
GEOCF;3ème Année;M303;Normes comptables internationales;60;Evaluer et comptabiliser des actifs courants
GEOCF;3ème Année;M303;Normes comptables internationales;60;Evaluer et comptabiliser des éléments du passif du bilan
GEOCF;3ème Année;M303;Normes comptables internationales;60;Evaluation et comptabilisation des produits ordinaires
GEOCF;3ème Année;M303;Normes comptables internationales;60;Evaluation et comptabilisation des contrats de location
GEOCF;3ème Année;M303;Normes comptables internationales;60;Définir le groupe
GEOCF;3ème Année;M303;Normes comptables internationales;60;Reconnaitre les motivations de création dun groupe
GEOCF;3ème Année;M303;Normes comptables internationales;60;Reconnaitre les avantages de lorganisation en groupe
GEOCF;3ème Année;M303;Normes comptables internationales;60;Reconnaitre la règlementation applicable aux comptes consolidés
GEOCF;3ème Année;M303;Normes comptables internationales;60;Définir le périmètre de consolidation
GEOCF;3ème Année;M303;Normes comptables internationales;60;Sapproprier les dispositions de la norme IAS 27 régissant les entreprises sous contrôle exclusif
GEOCF;3ème Année;M303;Normes comptables internationales;60;Sapproprier les dispositions de la norme IAS 31 régissant les entreprises sous contrôle conjoint
GEOCF;3ème Année;M303;Normes comptables internationales;60;Sapproprier les dispositions de la norme IAS 28 régissant les entreprises sous influence notable
GEOCF;3ème Année;M303;Normes comptables internationales;60;Sapproprier les dispositions IAS/IFRS régissant les entreprises exclues du périmètre de consolidation
GEOCF;3ème Année;M303;Normes comptables internationales;60;Reconnaitre les critères de choix dune méthode de consolidation
GEOCF;3ème Année;M303;Normes comptables internationales;60;Sapproprier les principes régissant les méthodes de consolidation
GEOCF;3ème Année;M303;Normes comptables internationales;60;Appliquer la méthode de lintégration globale
GEOCF;3ème Année;M303;Normes comptables internationales;60;Appliquer la méthode de lintégration proportionnelle
GEOCF;3ème Année;M303;Normes comptables internationales;60;Appliquer la méthode de la mise en équivalence
GEOCF;3ème Année;M303;Normes comptables internationales;60;Comparer les méthodes de consolidation des comptes
GEOCF;3ème Année;M304;Gestion de projet;40;Interpréter les objectifs les caractéristiques et les limites du projet
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Distinguer les outils de recueil des données
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Distinguer les outils danalyse des besoins inhérents à la demande
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Définir les règles de travail en équipe
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Décrire la démarche analytique de létude de faisabilité
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Reconnaitre les différents types danalyse de la faisabilité organisationnelle opérationnelle et financière
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Etablir le rapport de faisabilité
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Reconnaitre lenvironnement de MS PROJECT
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Exploiter les fonctionnalités de planification
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Piloter le projet
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Reconnaitre les exigences définies lors de la planification du projet
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Décrire le tableau de bord du projet
GEOCF;3ème Année;M305;Gestion de projet - Outils et pilotage;40;Etablir le rapport de suivi de projet
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Enumérer les acteurs concernés par la simulation de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Enumérer les différents couples produit/marché et les stratégies associées
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Décrire le cycle dexploitation de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Décrire le cycle dinvestissement de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Elaborer et interpréter la fiche signalétique de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Reconnaitre les caractéristiques de la simulation dune entreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Sapproprier la démarche de la simulation
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Repartir les taches entre les membres de léquipe
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Analyser lenvironnement interne de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Analyser lenvironnement externe de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Définir les objectifs de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Elaborer et adapter la stratégie de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Décliner la stratégie sur le plan opérationnel
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Reconnaitre les modalités dévaluation des performances de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Vérifier limpact des décisions prises sur la performance de lentreprise
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Utiliser les outils damélioration pour lexploration de solutions daméliorations des performances
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Sapproprier les conventions et procédures de lancement du logiciel
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Décrire lenvironnement du logiciel
GEOCF;3ème Année;M306;Simulation de gestion d'entreprise;90;Simuler lentreprise
